indic_is,unit,sizen_r2,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_IACC,PC_ENT,10_C24_25,IS	: 	: 	100 	100 	100 	: 	100 	: 
E_IACC,PC_ENT,10_C24_25,IT	100 	100 	100 	99 	99 	98 	97 	: 
E_IACC,PC_ENT,10_C24_25,LT	100 	100 	100 	100 	100 	97 	100 	: 
E_IACC,PC_ENT,10_C24_25,LU	100 	100 	100 	98 	: u	98 	97 	: 
E_IACC,PC_ENT,10_C24_25,LV	100 	100 	97 	96 	95 	99 	87 	: 
E_IACC,PC_ENT,10_C24_25,MK	98 	: u	94 	97 	91 	100 	95 	: 
E_IACC,PC_ENT,10_C24_25,MT	100 	100 	100 	100 	91 	90 	94 	: 
E_IACC,PC_ENT,10_C24_25,NL	100 	100 	100 	100 	100 	100 	98 	: 
E_IACC,PC_ENT,10_C24_25,NO	100 	100 	97 	100 	100 	99 	98 	: 
E_IACC,PC_ENT,10_C24_25,PL	95 	94 	97 	96 	96 	96 	98 	: 
